 # Function values at  1326  Padua points
 -.10000000E+01 0.61232340E-16 0.18381885E+00
 -.99809853E+00 0.30937238E-02 0.18433383E+00
 -.99234438E+00 0.12292003E-01 0.18591493E+00
 -.98259265E+00 0.27345851E-01 0.18866914E+00
 -.96861627E+00 0.47839527E-01 0.19276981E+00
 -.95012717E+00 0.73190265E-01 0.19844915E+00
 -.92680501E+00 0.10264960E+00 0.20598709E+00
 -.89833232E+00 0.13530779E+00 0.21569507E+00
 -.86443475E+00 0.17010304E+00 0.22789249E+00
 -.82492439E+00 0.20583713E+00 0.24287247E+00
 -.77974380E+00 0.24119910E+00 0.26085390E+00
 -.72900805E+00 0.27479775E+00 0.28191964E+00
 -.67304158E+00 0.30520356E+00 0.30594640E+00
 -.61240662E+00 0.33099940E+00 0.33254176E+00
 -.54792006E+00 0.35083868E+00 0.36101516E+00
 -.48065597E+00 0.36350838E+00 0.39042113E+00
 -.41193166E+00 0.36799371E+00 0.41973608E+00
 -.34327629E+00 0.36354008E+00 0.44832001E+00
 -.27638221E+00 0.34970782E+00 0.47702873E+00
 -.21304066E+00 0.32641492E+00 0.51025103E+00
 -.15506500E+00 0.29396354E+00 0.55705148E+00
 -.10420576E+00 0.25304662E+00 0.62540641E+00
 -.62063329E-01 0.20473277E+00 0.70727204E+00
 -.30003972E-01 0.15042859E+00 0.77260341E+00
 -.90857834E-02 0.91819925E-01 0.79402262E+00
 -.29619776E-17 0.30795059E-01 0.77811464E+00
 -.30324288E-02 -.30645391E-01 0.75780028E+00
 -.18048031E-01 -.90486014E-01 0.75790623E+00
 -.44499881E-01 -.14679496E+00 0.78008565E+00
 -.81461729E-01 -.19781646E+00 0.81294639E+00
 -.12768147E+00 -.24205139E+00 0.84421968E+00
 -.18165124E+00 -.27832093E+00 0.86483282E+00
 -.24168860E+00 -.30580982E+00 0.86883704E+00
 -.30602281E+00 -.32408752E+00 0.85316978E+00
 -.37287996E+00 -.33310740E+00 0.81778432E+00
 -.44056134E+00 -.33318579E+00 0.76549419E+00
 -.50751048E+00 -.32496402E+00 0.70119870E+00
 -.57236535E+00 -.30935752E+00 0.63067909E+00
 -.63399383E+00 -.28749661E+00 0.55939886E+00
 -.69151185E+00 -.26066365E+00 0.49167208E+00
 -.74428516E+00 -.23023063E+00 0.43033029E+00
 -.79191622E+00 -.19760085E+00 0.37680483E+00
 -.83421915E+00 -.16415722E+00 0.33144219E+00
 -.87118545E+00 -.13121890E+00 0.29388110E+00
 -.90294395E+00 -.10000684E+00 0.26338352E+00
 -.92971786E+00 -.71618094E-01 0.23907685E+00
 -.95178185E+00 -.47008083E-01 0.22010770E+00
 -.96942159E+00 -.26979297E-01 0.20572689E+00
 -.98289770E+00 -.12174988E-01 0.19532885E+00
 -.99241574E+00 -.30761094E-02 0.18846505E+00
 -.99810333E+00 -.61116202E-16 0.18484520E+00
 -.99999520E+00 -.30996028E-02 0.18433496E+00
 -.99802677E+00 -.12362390E-01 0.18695526E+00
 -.99203641E+00 -.27608674E-01 0.19288554E+00
 -.98177639E+00 -.48489500E-01 0.20247115E+00
 -.96693232E+00 -.74484800E-01 0.21623332E+00
 -.94715037E+00 -.10490298E+00 0.23487642E+00
 -.92207150E+00 -.13888342E+00 0.25928333E+00
 -.89137126E+00 -.17540359E+00 0.29048240E+00
 -.85480334E+00 -.21329260E+00 0.32956201E+00
 -.81224461E+00 -.25125261E+00 0.37750175E+00
 -.76373887E+00 -.28788944E+00 0.43489165E+00
 -.70953626E+00 -.32175277E+00 0.50153257E+00
 -.65012481E+00 -.35138570E+00 0.57596501E+00
 -.58625119E+00 -.37538249E+00 0.65505912E+00
 -.51892731E+00 -.39245206E+00 0.73388531E+00
 -.44942076E+00 -.40148411E+00 0.80610212E+00
 -.37922759E+00 -.40161362E+00 0.86496840E+00
 -.31002740E+00 -.39227925E+00 0.90480368E+00
 -.24362195E+00 -.37327071E+00 0.92241772E+00
 -.18186030E+00 -.34476058E+00 0.91793630E+00
 -.12655451E+00 -.30731689E+00 0.89471769E+00
 -.79391349E-01 -.26189396E+00 0.85861254E+00
 -.41846098E-01 -.20980054E+00 0.81736076E+00
 -.15104673E-01 -.15264616E+00 0.78072127E+00
 -.26624091E-16 -.92268359E-01 0.75972765E+00
 0.30324288E-02 -.30645391E-01 0.76040294E+00
 -.60236268E-02 0.30200191E-01 0.77225866E+00
 -.26767630E-01 0.88300307E-01 0.76808881E+00
 -.58408682E-01 0.14183591E+00 0.72811214E+00
 -.99813610E-01 0.18922105E+00 0.66207568E+00
 -.14957275E+00 0.22917117E+00 0.59640111E+00
 -.20607819E+00 0.26075178E+00 0.54646658E+00
 -.26760849E+00 0.28340558E+00 0.51037749E+00
 -.33241380E+00 0.29695749E+00 0.48039302E+00
 -.39879551E+00 0.30159931E+00 0.45142816E+00
 -.46517574E+00 0.29785667E+00 0.42194805E+00
 -.53015291E+00 0.28654213E+00 0.39226310E+00
 -.59254112E+00 0.26869909E+00 0.36325639E+00
 -.65139251E+00 0.24554077E+00 0.33581210E+00
 -.70600319E+00 0.21838882E+00 0.31060146E+00
 -.75590404E+00 0.18861500E+00 0.28802475E+00
 -.80083906E+00 0.15758871E+00 0.26822909E+00
 -.84073388E+00 0.12663225E+00 0.25116198E+00
 -.87565773E+00 0.96984711E-01 0.23663540E+00
 -.90578182E+00 0.69774250E-01 0.22438553E+00
 -.93133700E+00 0.45998321E-01 0.21412156E+00
 -.95257318E+00 0.26510400E-01 0.20556246E+00
 -.96972254E+00 0.12011790E-01 0.19846314E+00
 -.98296838E+00 0.30468261E-02 0.19263192E+00
 -.99242051E+00 0.60768230E-16 0.18794140E+00
 -.99992329E+00 0.12385882E-01 0.18182213E+00
 -.99771702E+00 0.27766767E-01 0.18048744E+00
 -.99121230E+00 0.48955535E-01 0.18047427E+00
 -.98006956E+00 0.75496789E-01 0.18198388E+00
 -.96390287E+00 0.10675843E+00 0.18526655E+00
 -.94231296E+00 0.14193221E+00 0.19061201E+00
 -.91492650E+00 0.18003878E+00 0.19833624E+00
 -.88143973E+00 0.21993897E+00 0.20876128E+00
 -.84166429E+00 0.26035304E+00 0.22218349E+00
 -.79557257E+00 0.29988908E+00 0.23882583E+00
